date,time,away_team,home_team,tournament,link
2025-05-20,9:00 AM,Tulane Green Wave,Florida Atlantic Owls,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806825
2025-05-20,9:00 AM,California Golden Bears,Miami Hurricanes,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806843
2025-05-20,12:30 PM,Rice Owls,Texas-San Antonio Roadrunners,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806827
2025-05-20,1:00 PM,Stanford Cardinal,Virginia Tech Hokies,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806842
2025-05-20,4:00 PM,Wichita State Shockers,Charlotte 49ers,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806826
2025-05-20,5:00 PM,Pittsburgh Panthers,Louisville Cardinals,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806838
2025-05-20,7:30 PM,East Carolina Pirates,South Florida Bulls,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806824
2025-05-20,9:00 PM,Boston College Eagles,Notre Dame Fighting Irish,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806839
2025-05-21,9:00 AM,California Golden Bears,Wake Forest Demon Deacons,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806840
2025-05-21,9:00 AM,Brigham Young Cougars,Arizona State Sun Devils,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806862
2025-05-21,1:00 PM,Rice Owls,Florida Atlantic Owls,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806821
2025-05-21,1:00 PM,Virginia Tech Hokies,Clemson Tigers,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806837
2025-05-21,12:30 PM,Texas Tech Red Raiders,Cincinnati Bearcats,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806858
2025-05-21,1:05 PM,San Jose State Spartans,New Mexico Lobos,Mountain West Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=812870
2025-05-21,4:30 PM,Wichita State Shockers,South Florida Bulls,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806823
2025-05-21,4:00 PM,Baylor Bears,Oklahoma State Cowboys,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806861
2025-05-21,5:00 PM,Pittsburgh Panthers,Duke Blue Devils,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806835
2025-05-21,2:00 PM,San Francisco Dons,Saint Mary's Gaels,WCC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806851
2025-05-21,9:00 PM,Boston College Eagles,Virginia Cavaliers,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806833
2025-05-21,8:00 PM,Houston Cougars,Kansas State Wildcats,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806860
2025-05-21,6:05 PM,San Diego State Aztecs,UNLV Rebels,Mountain West Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=812869
2025-05-21,6:05 PM,Portland Pilots,Loyola Marymount Lions,WCC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806848
2025-05-22,9:00 AM,To Be Determined,Arizona Wildcats,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806859
2025-05-22,1:00 PM,Tulane Green Wave,Texas-San Antonio Roadrunners,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806822
2025-05-22,12:30 PM,To Be Determined,West Virginia Mountaineers,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806857
2025-05-22,3:00 PM,To Be Determined,Georgia Tech Yellow Jackets,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806834
2025-05-22,1:05 PM,To Be Determined,Nevada Wolf Pack,Mountain West Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=812867
2025-05-22,4:30 PM,East Carolina Pirates,Charlotte 49ers,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806817
2025-05-22,4:00 PM,To Be Determined,Kansas Jayhawks,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806855
2025-05-22,2:00 PM,To Be Determined,To Be Determined,WCC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806850
2025-05-22,7:00 PM,To Be Determined,North Carolina State Wolfpack,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806836
2025-05-22,7:30 PM,To Be Determined,Texas Christian Horned Frogs,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806856
2025-05-22,6:05 PM,To Be Determined,To Be Determined,WCC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806849
2025-05-22,6:05 PM,To Be Determined,Fresno State Bulldogs,Mountain West Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=812868
2025-05-23,1:00 PM,To Be Determined,To Be Determined,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806820
2025-05-23,11:05 AM,To Be Determined,To Be Determined,Mountain West Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=812864
2025-05-23,3:00 PM,To Be Determined,Florida State Seminoles,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806832
2025-05-23,12:00 PM,To Be Determined,To Be Determined,WCC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806847
2025-05-23,4:30 PM,To Be Determined,To Be Determined,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806819
2025-05-23,4:00 PM,To Be Determined,To Be Determined,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806854
2025-05-23,3:05 PM,To Be Determined,To Be Determined,Mountain West Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=812865
2025-05-23,7:00 PM,To Be Determined,North Carolina Tar Heels,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806829
2025-05-23,4:05 PM,To Be Determined,To Be Determined,WCC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806846
2025-05-23,7:30 PM,To Be Determined,To Be Determined,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806852
2025-05-23,7:05 PM,To Be Determined,To Be Determined,Mountain West Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=812866
2025-05-23,8:10 PM,To Be Determined,To Be Determined,WCC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806845
2025-05-24,9:00 AM,To Be Determined,To Be Determined,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806818
2025-05-24,12:30 PM,To Be Determined,To Be Determined,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806814
2025-05-24,1:00 PM,To Be Determined,To Be Determined,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806831
2025-05-24,12:05 PM,To Be Determined,To Be Determined,Mountain West Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=812862
2025-05-24,1:00 PM,To Be Determined,To Be Determined,WCC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806844
2025-05-24,4:30 PM,To Be Determined,To Be Determined,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806813
2025-05-24,5:00 PM,To Be Determined,To Be Determined,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806830
2025-05-24,3:05 PM,To Be Determined,To Be Determined,Mountain West Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=812863
2025-05-24,6:00 PM,To Be Determined,To Be Determined,Big 12 Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806853
2025-05-24,4:30 PM,To Be Determined,To Be Determined,WCC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806841
2025-05-24,7:30 PM,To Be Determined,To Be Determined,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806816
2025-05-25,12:00 PM,To Be Determined,To Be Determined,ACC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806828
2025-05-25,12:00 PM,To Be Determined,To Be Determined,AAC Tournament,https://baseballsavant.mlb.com/gamefeed?gamePk=806815
